Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Tirage au sort;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross, Marie-Odile Luyet;Gilles Crettenand, Thierry Dewier, Xavier Guyaz, Jean-Pierre Lonfat, Hugo Mabillard, Laurent Zufferey;aff00af7-7e66-41e4-89dc-5abeb7655932
Voix recues lors de la primaire;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross;Thomas Armour, Florian Evequoz, Xavier Guyaz, Jean-Pierre Lonfat;123cbe58-5672-4ff1-8d9e-d91f0f8f2472
Voix recues lors de la primaire;;Florian Evequoz;86137972-5634-4b4f-b8c4-41c3ad09e2ab
Tirage au sort;Ana Gross;Thierry Dewier;4659b570-bf78-4006-abd8-63bec105e1f6
Voix recues lors de la primaire;Letizia D'Andrea, Aline Giroud;Pascal Coudray, Florian Evequoz, Hugo Mabillard;55c0f640-dccd-4100-aea8-99d4abc17b0c
Je Mabstiens de repondre a cette question;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud;Florian Evequoz;f3ddc6f8-0f06-4062-9e4c-3c5aed7228b6
ordre alphabetique;Pascale Fumeaux, Aline Giroud, Marie-Odile Luyet;Florian Evequoz;828fa6e2-cc44-45bb-8cb2-97dad0cbd649
Je Mabstiens de repondre a cette question;Ana Gross;Pascal Coudray;4b4a7b1e-7fef-4306-be01-e255450f3a57
representativite inverse du Grand Conseil actuel;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross;Thomas Armour, Pascal Coudray, Thierry Dewier, Florian Evequoz, Xavier Guyaz, Jean-Pierre Lonfat;742b4d34-3bad-4b04-b6b3-328243451d13
representativite inverse du Grand Conseil actuel;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross, Marie-Odile Luyet;Thomas Armour, Pascal Coudray, Gilles Crettenand, Thierry Dewier, Florian Evequoz, Jean-Pierre Lonfat;790c7df5-90d9-4611-a183-4d5093c72b70
Voix recues lors de la primaire;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud;Florian Evequoz, Xavier Guyaz;570cab47-a697-47fe-b24e-6caa59126eae
Voix recues lors de la primaire;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross;Pascal Coudray, Thierry Dewier, Florian Evequoz, Xavier Guyaz, Jean-Pierre Lonfat, Hugo Mabillard;9872ca59-5750-4820-8970-2e327993f2ac
Voix recues lors de la primaire;Letizia D'Andrea, Pascale Fumeaux, Aline Giroud, Ana Gross, Marie-Odile Luyet;Thomas Armour, Pascal Coudray, Florian Evequoz, Xavier Guyaz, Hugo Mabillard, Laurent Zufferey;1e849e01-7acb-421a-8ea8-755dd03b54c2
